param n := 400;
param deposito := 16;
param numero_clusters := 80;
param factor := 1;

set Np[1]:= 292 322 351 374  ;
set Np[2]:= 213 230 346 379  ;
set Np[3]:= 25 29 163  ;
set Np[4]:= 16  ;
set Np[5]:= 133 249 352  ;
set Np[6]:= 32 59 224  ;
set Np[7]:= 89 306  ;
set Np[8]:= 27 63 176 218 297 321  ;
set Np[9]:= 152 180 296  ;
set Np[10]:= 15 21 30 69 76 301 316 341  ;
set Np[11]:= 57 96 103 108 179 299 354 360  ;
set Np[12]:= 102 225 261 287 315 383  ;
set Np[13]:= 33 61 94 235 241 324 333  ;
set Np[14]:= 31 125 242 262  ;
set Np[15]:= 87 187 243 278 312 348 356  ;
set Np[16]:= 35 36 184 271  ;
set Np[17]:= 178 202 214 216 285 286 347  ;
set Np[18]:= 116 195 272 314 332 387 390  ;
set Np[19]:= 98 288  ;
set Np[20]:= 99 104 111 143 386  ;
set Np[21]:= 91 149 193 335 338  ;
set Np[22]:= 86 183 283 372  ;
set Np[23]:= 85 159 190 308 359  ;
set Np[24]:= 134 140 172 188 217 267  ;
set Np[25]:= 56 92 157 203 273 275 339 358  ;
set Np[26]:= 5 14 52 135 141 255 260 266 280 330 353  ;
set Np[27]:= 2 60 110 148 293 385  ;
set Np[28]:= 28 223 250 269 378 388  ;
set Np[29]:= 68 101 113 276 320 350 396 397  ;
set Np[30]:= 26 117 120 129 164 167 328 336  ;
set Np[31]:= 77 199 211 234 236 263 284 357 395  ;
set Np[32]:= 105 170 248 291 318 355 370  ;
set Np[33]:= 40 109 112 168 246 264 380  ;
set Np[34]:= 79 90 121 237 258 375  ;
set Np[35]:= 65 84 174 381  ;
set Np[36]:= 78 138 144 177 198 208  ;
set Np[37]:= 204 210  ;
set Np[38]:= 39 115 222 247 295 304  ;
set Np[39]:= 22 66 147 257 290 367 371  ;
set Np[40]:= 64 107 151 160 196  ;
set Np[41]:= 23 124 191  ;
set Np[42]:= 18 182 233 305 365 399  ;
set Np[43]:= 51 88 165 232 238 244 252 309  ;
set Np[44]:= 122 139 209 265 382  ;
set Np[45]:= 221  ;
set Np[46]:= 13 19 24 173 240 298 384  ;
set Np[47]:= 12 43 126 131 376  ;
set Np[48]:= 8 44 128 145 175 181 229  ;
set Np[49]:= 277  ;
set Np[50]:= 34 45 161 256  ;
set Np[51]:= 41 71 127 153 185 340 343  ;
set Np[52]:= 74 97 219  ;
set Np[53]:= 17 67 155 186 205 268 282 317  ;
set Np[54]:= 11 100 132 245 363  ;
set Np[55]:= 72 119 154 279 323  ;
set Np[56]:= 37 75 82 220 231 270 326  ;
set Np[57]:= 10 146 189  ;
set Np[58]:= 3 93 207 361  ;
set Np[59]:= 20 106 166 215 227 274 368  ;
set Np[60]:= 150 171 294  ;
set Np[61]:= 42 118 391  ;
set Np[62]:= 192  ;
set Np[63]:= 54 289 400  ;
set Np[64]:= 137  ;
set Np[65]:= 200 331 389  ;
set Np[66]:= 6 49 58 136 342  ;
set Np[67]:= 38 55 239  ;
set Np[68]:= 70 81 364  ;
set Np[69]:= 53 95 197 369 398  ;
set Np[70]:= 130 158 251 300 307 311 327 344  ;
set Np[71]:= 194 303 310 334  ;
set Np[72]:= 1 4 9 169 201  ;
set Np[73]:= 46 302 325  ;
set Np[74]:= 114 156 366 392  ;
set Np[75]:= 62 142 254 329 345 362  ;
set Np[76]:= 162 259 313 349  ;
set Np[77]:= 50 83 319 394  ;
set Np[78]:= 73 80 212 226 228 281 337 377  ;
set Np[79]:= 373 393  ;
set Np[80]:= 7 47 48 123 206 253  ;


param c:=
1	227	213.56
1	228	380.62
1	229	396.92
1	230	534.83
1	231	407.4
1	232	329.04
1	233	598.89
1	234	375.89
1	235	524.16
1	236	315.46
1	237	219.2
1	238	320.99
1	239	264.75
1	240	418.49
1	241	539.01
1	242	564.51
1	243	535.8
1	244	371.47
1	245	422.54
1	246	241.67
1	247	180.34
1	248	427.44
1	249	172.46
1	250	384.71
1	251	237.1
1	252	385.38
1	253	338.42
1	254	328.08
1	255	446.37
1	256	111.76
1	257	166.52
1	258	230.3
1	259	419.39
1	260	411.22
1	261	413.12
1	262	507.85
1	263	341.96
1	264	288.65
1	265	321.49
1	266	479.73
1	267	615.52
1	268	346.9
1	269	383.42
1	270	325.19
1	271	425.53
1	272	423.07
1	273	98.38
1	274	275.26
1	275	77.6
1	276	230.76
1	277	736.44
1	278	497.06
1	279	461.16
1	280	412.48
1	281	390.45
1	282	266.57
1	283	644.44
1	284	384.14
1	285	220.44
1	286	192.6
1	287	445.12
1	288	415.89
1	289	488.83
1	290	119.65
1	291	382.96
1	292	756.78
1	293	257.71
1	294	533.98
1	295	141.23
1	296	566.5
1	297	444.74
1	298	351.95
1	299	242.19
1	300	162.14
1	301	221.48
1	302	680.63
1	303	398.83
1	304	101.91
1	305	587.02
1	306	404.99
1	307	211.04
1	308	632.27
1	309	273.71
1	310	386.01
1	311	229.01
1	312	529.87
1	313	368.59
1	314	467.51
1	315	445.93
1	316	285.82
1	317	327.8
1	318	431.3
1	319	450.63
1	320	266.01
1	321	501.2
1	322	755.81
1	323	449.56
1	324	526.53
1	325	678.33
1	326	329.29
1	327	250.67
1	328	249.1
1	329	304.66
1	330	472.76
1	331	633.07
1	332	462.11
1	333	521.54
1	334	380.38
1	335	392.25
1	336	212.72
1	337	360.51
1	338	434.2
1	339	127.2
1	340	518.86
1	341	288.62
1	342	518.95
1	343	490.68
1	344	231.7
1	345	322.64
1	346	579.8
1	347	212.42
1	348	504.4
1	349	362.77
1	350	271.83
1	351	766.89
1	352	169.19
1	353	491.05
1	354	215.72
1	355	425.37
1	356	580.31
1	357	347.54
1	358	102.84
1	359	581.83
1	360	216.06
1	361	596.3
1	362	344.76
1	363	382.35
1	364	597.05
1	365	532.4
1	366	551.58
1	367	129.53
1	368	259.8
1	369	667.08
1	370	369.14
1	371	200.14
1	372	661.95
1	373	563.03
1	374	773.59
1	375	279.24
1	376	553.79
1	377	408.18
1	378	391.68
1	379	567.74
1	380	356.97
1	381	569.5
1	382	382.45
1	383	366.64
1	384	357.72
1	385	236.25
1	386	311.49
1	387	465.13
1	388	456.73
1	389	588.82
1	390	491.79
1	391	297.52
1	392	494.73
1	393	582.21
1	394	541.18
1	395	398.81
1	396	284.24
1	397	228.83
1	398	626.03
1	399	472.98
1	400	473.92
2	1	271.41
2	3	300.49
2	4	294.57
2	5	193.57
2	6	514.98
2	7	372.22
2	8	610.8
2	9	280.12
2	10	352.43
2	11	167.19
2	12	503.96
2	13	556.71
2	14	263.05
2	15	369.58
2	16	396.27
2	17	545.24
2	18	781.96
2	19	576.94
2	20	241.96
2	21	377.37
2	22	193.45
2	23	243.09
2	24	615.86
2	25	940.79
2	26	447.24
2	27	485.31
2	28	313.58
2	29	940.75
2	30	337.46
2	31	386.03
2	32	192.89
2	33	563.07
2	34	430.26
2	35	354.7
2	36	467.25
2	37	333.36
2	38	519.19
2	39	386.73
2	40	444.88
2	41	766.01
2	42	472.59
2	43	508.96
2	44	564.28
2	45	381.57
2	46	687.37
2	47	336.15
2	48	297.34
2	49	575.79
2	50	746.86
2	51	601.08
2	52	273.38
2	53	909.3
2	54	711.76
2	55	486.73
2	56	223.93
2	57	186.92
2	58	577.45
2	59	219.35
2	60	87.6
2	61	596.2
2	62	140.82
2	63	441.75
2	64	407.79
2	65	813.18
2	66	214.23
2	67	554.43
2	68	283.39
2	69	334.88
2	70	691.89
2	71	758.8
2	72	428.7
2	73	144.47
2	74	663.9
2	75	360.68
2	76	303.75
2	77	663.75
2	78	764.55
2	79	576.03
2	80	197.18
2	81	672.85
2	82	302.18
2	83	722.42
2	84	839.77
2	85	874.01
2	86	689.25
2	87	780.84
2	88	653.63
2	89	647.97
2	90	567.18
2	91	647.44
2	92	143.18
2	93	246.8
2	94	644.22
2	95	918.0
2	96	139.3
2	97	605.19
2	98	607.2
2	99	377.13
2	100	133.61
2	101	233.42
2	102	649.22
2	103	122.26
2	104	375.53
2	105	513.99
2	106	267.73
2	107	435.02
2	108	128.61
2	109	442.97
2	110	96.99
2	111	338.89
2	112	385.88
2	113	177.39
2	114	752.86
2	115	332.95
2	116	248.66
2	117	495.14
2	118	398.26
2	119	509.76
2	120	412.41
2	121	533.33
2	122	17.29
2	123	334.53
2	124	286.65
2	125	346.27
2	126	505.98
2	127	726.02
2	128	562.86
2	129	427.64
2	130	163.86
2	131	550.66
2	132	195.88
2	133	399.61
2	134	737.48
2	135	248.12
2	136	592.94
2	137	268.34
2	138	665.3
2	139	23.33
2	140	721.43
2	141	242.48
2	142	173.13
2	143	417.98
2	144	709.38
2	145	597.93
2	146	378.88
2	147	257.76
2	148	63.09
2	149	644.44
2	150	614.48
2	151	501.67
2	152	804.72
2	153	740.04
2	154	457.84
2	155	570.67
2	156	805.45
2	157	154.81
2	158	145.79
2	159	871.4
2	160	437.18
2	161	408.96
2	162	650.05
2	163	981.0
2	164	517.47
2	165	581.94
2	166	266.16
2	167	466.93
2	168	472.57
2	169	336.15
2	170	455.92
2	171	540.71
2	172	758.27
2	173	541.44
2	174	894.66
2	175	635.16
2	176	371.93
2	177	676.23
2	178	507.36
2	179	154.75
2	180	788.65
2	181	589.13
2	182	796.98
2	183	673.52
2	184	451.78
2	185	708.08
2	186	530.59
2	187	806.24
2	188	764.62
2	189	349.12
2	190	892.89
2	191	321.48
2	192	838.06
2	193	599.39
2	194	539.34
2	195	192.96
2	196	431.21
2	197	925.74
2	198	740.06
2	199	659.78
2	200	908.81
2	201	287.98
2	202	512.66
2	203	210.86
2	204	759.55
2	205	581.41
2	206	330.17
2	207	322.57
2	208	751.15
2	209	61.41
2	210	739.05
2	211	606.29
2	212	157.9
2	213	575.12
2	214	485.31
2	215	215.92
2	216	458.16
2	217	766.31
2	218	459.94
2	219	650.21
2	220	395.51
2	221	421.01
2	222	346.78
2	223	309.25
2	224	205.92
2	225	684.16
2	226	167.39
2	227	203.24
2	228	190.69
2	229	642.38
2	230	586.28
2	231	422.12
2	232	597.3
2	233	788.11
2	234	628.59
2	235	640.8
2	236	579.99
2	237	487.34
2	238	592.24
2	239	486.03
2	240	591.9
2	241	648.72
2	242	384.01
2	243	805.89
2	244	642.73
2	245	203.06
2	246	425.62
2	247	397.22
2	248	474.48
2	249	409.5
2	250	275.74
2	251	188.37
2	252	656.77
2	253	296.21
2	254	138.2
2	255	224.37
2	256	382.94
2	257	181.76
2	258	499.89
2	259	671.95
2	260	211.86
2	261	680.44
2	262	351.64
2	263	610.29
2	264	446.66
2	265	65.67
2	266	251.37
2	267	759.4
2	268	576.45
2	269	291.04
2	270	341.78
2	271	404.0
2	272	152.15
2	273	207.03
2	274	263.46
2	275	204.3
2	276	218.0
2	277	845.8
2	278	764.26
2	279	474.11
2	280	209.85
2	281	174.13
2	282	509.68
2	283	668.17
2	284	646.87
2	285	478.34
2	286	463.99
2	287	709.53
2	288	555.68
2	289	745.54
2	290	280.11
2	291	412.23
2	292	823.57
2	293	98.14
2	294	572.12
2	295	399.51
2	296	789.94
2	297	413.76
2	298	529.74
2	299	55.07
2	300	195.86
2	301	384.95
2	302	731.66
2	303	498.34
2	304	338.83
2	305	788.73
2	306	624.4
2	307	150.95
2	308	896.54
2	309	543.48
2	310	464.75
2	311	172.39
2	312	796.31
2	313	626.82
2	314	198.67
2	315	712.11
2	316	369.46
2	317	551.11
2	318	466.2
2	319	684.63
2	320	260.08
2	321	466.6
2	322	842.89
2	323	491.09
2	324	609.59
2	325	732.67
2	326	291.73
2	327	129.74
2	328	451.15
2	329	131.95
2	330	219.44
2	331	903.8
2	332	194.18
2	333	646.25
2	334	462.89
2	335	611.79
2	336	449.98
2	337	212.84
2	338	631.71
2	339	165.71
2	340	790.1
2	341	345.16
2	342	573.39
2	343	761.29
2	344	120.0
2	345	112.99
2	346	623.61
2	347	483.03
2	348	769.91
2	349	613.88
2	350	203.38
2	351	853.55
2	352	358.37
2	353	290.11
2	354	87.07
2	355	476.27
2	356	849.01
2	357	602.82
2	358	174.17
2	359	844.39
2	360	77.97
2	361	341.09
2	362	162.64
2	363	160.46
2	364	724.53
2	365	726.38
2	366	817.37
2	367	183.66
2	368	262.44
2	369	937.16
2	370	420.65
2	371	276.02
2	372	690.17
2	373	325.17
2	374	847.88
2	375	536.67
2	376	529.02
2	377	241.25
2	378	315.48
2	379	597.33
2	380	520.18
2	381	840.67
2	382	137.72
2	383	634.78
2	384	543.51
2	385	38.8
2	386	352.42
2	387	202.44
2	388	313.85
2	389	859.18
2	390	220.41
2	391	445.83
2	392	758.79
2	393	339.26
2	394	752.0
2	395	651.21
2	396	243.25
2	397	253.33
2	398	895.43
2	399	662.31
2	400	731.8
3	1	561.75
3	2	300.49
3	4	578.58
3	5	170.59
3	6	781.18
3	7	636.42
3	8	842.95
3	9	575.61
3	10	192.87
3	11	268.64
3	12	527.84
3	13	854.59
3	14	199.9
3	15	664.94
3	16	102.35
3	17	845.67
3	18	979.8
3	19	873.1
3	20	413.95
3	21	671.37
3	22	443.0
3	23	457.54
3	24	911.34
3	25	1225.64
3	26	746.87
3	27	527.65
3	28	371.4
3	29	1222.13
3	30	628.87
3	31	264.61
3	32	372.17
3	33	674.37
3	34	719.22
3	35	583.27
3	36	693.33
3	37	419.94
3	38	769.42
3	39	684.83
3	40	668.84
3	41	1047.79
3	42	763.49
3	43	521.4
3	44	805.3
3	45	666.27
3	46	759.1
3	47	584.55
3	48	531.16
3	49	830.51
3	50	959.72
3	51	887.4
3	52	206.35
3	53	1183.14
3	54	1011.31
3	55	708.06
3	56	523.8
3	57	351.79
3	58	834.13
3	59	376.47
3	60	324.69
3	61	732.68
3	62	378.48
3	63	473.06
3	64	679.39
3	65	1088.48
3	66	450.77
3	67	854.85
3	68	541.11
3	69	616.32
3	70	820.38
3	71	1041.15
3	72	677.35
3	73	177.92
3	74	834.17
3	75	462.13
3	76	584.27
3	77	961.57
3	78	850.66
3	79	838.45
3	80	227.66
3	81	797.78
3	82	432.08
3	83	943.02
3	84	1116.18
3	85	1134.59
3	86	742.0
3	87	1075.3
3	88	940.75
3	89	948.03
3	90	842.2
3	91	871.6
3	92	433.12
3	93	75.87
3	94	777.77
3	95	1193.46
3	96	350.86
3	97	792.09
3	98	892.94
3	99	523.65
3	100	281.94
3	101	492.5
3	102	926.2
3	103	329.89
3	104	539.18
3	105	629.26
3	106	387.23
3	107	716.01
3	108	378.55
3	109	661.86
3	110	389.67
3	111	507.83
3	112	591.69
3	113	439.99
3	114	1024.89
3	115	633.14
3	116	113.67
3	117	795.63
3	118	684.46
3	119	734.95
3	120	712.89
3	121	801.23
3	122	283.36
3	123	578.95
3	124	514.52
3	125	234.67
3	126	547.31
3	127	1011.8
3	128	799.74
3	129	728.12
3	130	442.91
3	131	580.0
3	132	205.26
3	133	656.75
3	134	886.97
3	135	99.24
3	136	860.37
3	137	568.16
3	138	747.91
3	139	308.84
3	140	887.58
3	141	197.74
3	142	417.6
3	143	568.25
3	144	804.3
3	145	843.59
3	146	177.96
3	147	497.54
3	148	347.45
3	149	864.98
3	150	702.93
3	151	771.99
3	152	1020.22
3	153	1027.22
3	154	694.4
3	155	869.19
3	156	1065.63
3	157	454.91
3	158	429.73
3	159	1134.6
3	160	710.47
3	161	690.53
3	162	917.04
3	163	1264.91
3	164	817.24
3	165	866.25
3	166	446.91
3	167	766.26
3	168	691.98
3	169	620.38
3	170	533.79
3	171	632.81
3	172	904.38
3	173	840.36
3	174	1177.81
3	175	880.23
3	176	395.55
3	177	773.99
3	178	799.18
3	179	349.11
3	180	1020.03
3	181	836.94
3	182	980.68
3	183	726.17
3	184	680.99
3	185	995.47
3	186	831.01
3	187	1100.5
3	188	924.61
3	189	185.04
3	190	1158.64
3	191	515.82
3	192	1083.88
3	193	812.38
3	194	668.13
3	195	111.02
3	196	712.7
3	197	1203.74
3	198	828.94
3	199	958.14
3	200	1195.82
3	201	579.97
3	202	810.91
3	203	498.42
3	204	1003.51
3	205	881.61
3	206	566.87
3	207	22.21
3	208	846.79
3	209	246.44
3	210	982.55
3	211	904.29
3	212	172.98
3	213	817.16
3	214	781.72
3	215	425.22
3	216	758.03
3	217	942.44
3	218	518.06
3	219	818.1
3	220	490.32
3	221	382.86
3	222	647.07
3	223	332.47
3	224	345.04
3	225	954.94
3	226	225.61
3	227	409.8
3	228	225.8
3	229	890.95
3	230	829.2
3	231	519.69
3	232	873.89
3	233	974.25
3	234	928.19
3	235	776.63
3	236	876.01
3	237	766.39
3	238	880.37
3	239	726.87
3	240	883.03
3	241	777.03
3	242	249.26
3	243	1096.71
3	244	930.51
3	245	320.62
3	246	651.05
3	247	697.68
3	248	583.93
3	249	669.29
3	250	327.01
3	251	464.74
3	252	941.98
3	253	537.68
3	254	352.31
3	255	155.22
3	256	670.0
3	257	424.78
3	258	780.95
3	259	926.47
3	260	202.4
3	261	953.74
3	262	278.65
3	263	903.7
3	264	650.82
3	265	241.38
3	266	129.66
3	267	905.34
3	268	876.75
3	269	349.74
3	270	476.32
3	271	630.51
3	272	179.57
3	273	507.28
3	274	421.22
3	275	502.06
3	276	497.3
3	277	949.4
3	278	1058.75
3	279	708.83
3	280	197.64
3	281	193.89
3	282	809.88
3	283	709.06
3	284	943.9
3	285	776.27
3	286	752.1
3	287	977.58
3	288	838.62
3	289	1044.67
3	290	533.23
3	291	526.88
3	292	886.4
3	293	371.39
3	294	647.4
3	295	696.67
3	296	1009.14
3	297	469.27
3	298	823.59
3	299	319.61
3	300	492.5
3	301	681.38
3	302	790.37
3	303	646.61
3	304	638.07
3	305	986.77
3	306	923.67
3	307	438.62
3	308	1160.87
3	309	835.29
3	310	604.54
3	311	452.21
3	312	1091.43
3	313	889.3
3	314	109.59
3	315	982.86
3	316	649.53
3	317	851.16
3	318	567.12
3	319	919.93
3	320	529.6
3	321	497.2
3	322	924.32
3	323	739.0
3	324	719.97
3	325	794.62
3	326	407.28
3	327	402.54
3	328	750.34
3	329	367.63
3	330	92.02
3	331	1192.88
3	332	182.83
3	333	788.52
3	334	606.34
3	335	839.17
3	336	750.29
3	337	278.02
3	338	838.7
3	339	466.1
3	340	1077.37
3	341	619.85
3	342	819.14
3	343	1041.09
3	344	403.32
3	345	329.95
3	346	858.79
3	347	773.64
3	348	1065.67
3	349	869.39
3	350	464.58
3	351	933.44
3	352	601.06
3	353	184.78
3	354	347.11
3	355	588.67
3	356	1141.95
3	357	901.9
3	358	459.17
3	359	1106.86
3	360	345.83
3	361	49.11
3	362	364.27
3	363	312.9
3	364	858.97
3	365	921.8
3	366	1085.57
3	367	447.54
3	368	432.35
3	369	1213.64
3	370	551.52
3	371	487.67
3	372	731.87
3	373	96.3
3	374	915.69
3	375	802.02
3	376	550.12
3	377	247.31
3	378	375.09
3	379	826.58
3	380	714.23
3	381	1122.43
3	382	181.09
3	383	910.39
3	384	838.6
3	385	329.13
3	386	501.85
3	387	98.08
3	388	288.65
3	389	1149.35
3	390	121.73
3	391	736.59
3	392	1025.25
3	393	85.45
3	394	961.17
3	395	950.91
3	396	502.58
3	397	535.18
3	398	1170.27
3	399	859.28
3	400	1030.63
4	1	35.23
4	2	294.57
4	3	578.58
4	5	427.71
4	6	455.9
4	7	364.52
4	8	350.85
4	9	61.61
4	10	560.51
4	11	441.3
4	12	516.1
4	13	364.34
4	14	462.87
4	15	244.49
4	16	662.98
4	17	318.76
4	18	545.7
4	19	394.48
4	20	248.3
4	21	258.04
4	22	150.03
4	23	390.97
4	24	432.81
4	25	648.37
4	26	254.86
4	27	485.25
4	28	385.36
4	29	646.97
4	30	252.17
4	31	559.41
4	32	407.16
4	33	461.66
4	34	141.25
4	35	425.94
4	36	503.65
4	37	362.26
4	38	246.44
4	39	137.52
4	40	223.64
4	41	472.14
4	42	339.41
4	43	530.69
4	44	298.26
4	45	87.91
4	46	602.95
4	47	380.08
4	48	387.02
4	49	530.97
4	50	497.47
4	51	309.1
4	52	468.64
4	53	614.79
4	54	451.18
4	55	258.66
4	56	118.74
4	57	270.1
4	58	527.89
4	59	436.69
4	60	333.39
4	61	456.41
4	62	335.22
4	63	469.79
4	64	365.95
4	65	518.63
4	66	158.68
4	67	315.02
4	68	336.5
4	69	293.81
4	70	543.42
4	71	465.11
4	72	435.04
4	73	401.91
4	74	470.91
4	75	355.38
4	76	283.64
4	77	393.78
4	78	652.03
4	79	288.36
4	80	391.4
4	81	531.63
4	82	304.57
4	83	466.67
4	84	545.21
4	85	583.16
4	86	624.76
4	87	499.21
4	88	362.33
4	89	422.42
4	90	273.09
4	91	393.32
4	92	151.39
4	93	511.61
4	94	498.12
4	95	623.44
4	96	240.11
4	97	400.99
4	98	469.99
